Disease,Serotype,Reason,Country,Code,Unit type,Latitude,Longitude,Admin1,OBStartDate,OBEndDate,Species,Susceptible,Cases,Deaths,Destroyed,Slaughtered
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.513644,13.490078,Oberosterreich,31/10/08,11/05/09,Cattle,36,2,0,0,1
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,47.1028,9.7361,Vorarlberg,06/03/09,06/05/09,Cattle,59,1,0,0,0
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.4694,13.4444,Oberosterreich,30/01/09,14/02/09,Cattle,5,2,0,0,2
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.4694,13.4472,Oberosterreich,17/12/08,31/12/08,Cattle,42,1,0,0,0
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.3611,13.5056,Oberosterreich,11/02/09,30/06/09,Cattle,308,3,0,0,3
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.4278,13.5083,Oberosterreich,17/12/08,31/12/08,Cattle,60,6,0,0,2
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.5556,13.5972,Oberosterreich,14/01/09,21/04/09,Cattle,23,3,0,0,0
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.5472,13.5083,Oberosterreich,14/01/09,13/03/09,Cattle,14,2,0,0,2
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,47.6833,13.1083,Salzburg,11/02/09,03/05/09,Cattle,29,1,0,0,0
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,47.4667,9.8944,Vorarlberg,20/12/08,04/05/09,Cattle,36,2,0,0,1
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.3889,13.4472,Oberosterreich,17/12/08,21/04/09,Cattle,29,1,0,0,0
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.4167,13.5528,Oberosterreich,30/01/09,29/04/09,Cattle,31,1,0,0,1
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.3889,13.4444,Oberosterreich,17/12/08,20/01/09,Cattle,33,2,0,0,2
Bluetongue,8,First occurrence,"Austria, Republic of",AUT,Farm,48.4667,13.6222,Oberosterreich,17/07/09,31/12/09,Cattle,30,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,18/08/06,13/12/06,Cattle,119,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,18/08/06,13/12/06,Cattle,180,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.63,5.78,Li_ge,18/08/06,13/12/06,Cattle,66,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6,Li_ge,18/08/06,13/12/06,Cattle,138,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6.12,Li_ge,18/08/06,13/12/06,Cattle,63,15,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6.12,Li_ge,18/08/06,13/12/06,Cattle,100,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.87,Limburg,18/08/06,13/12/06,Cattle,93,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.75,Limburg,18/08/06,13/12/06,Sheep,9,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,18/08/06,13/12/06,Sheep,55,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.95,Li_ge,18/08/06,13/12/06,Sheep,3,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.53,5.8,Li_ge,18/08/06,13/12/06,Sheep,65,1,0,0,0
Bluetongue,8,Recurrence,"Belgium, Kingdom of",BEL,Farm,51.2,4.58,Antwerpen,07/07/07,31/12/08,Sheep,30,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.57,5.53,Li_ge,23/08/06,13/12/06,Cattle,4,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,5.72,Li_ge,24/08/06,13/12/06,Cattle,90,3,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,23/08/06,13/12/06,Cattle,81,5,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,23/08/06,13/12/06,Cattle,159,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.68,6.08,Li_ge,23/08/06,13/12/06,Cattle,103,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.6,5.95,Li_ge,21/08/06,13/12/06,Cattle,105,13,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,6.02,Li_ge,23/08/06,13/12/06,Cattle,118,3,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.55,5.95,Li_ge,22/08/06,13/12/06,Cattle,139,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.55,5.95,Li_ge,22/08/06,13/12/06,Cattle,32,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.55,5.95,Li_ge,22/08/06,13/12/06,Cattle,94,4,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.4,5.83,Li_ge,19/08/06,13/12/06,Cattle,189,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.4,5.83,Li_ge,19/08/06,13/12/06,Cattle,146,5,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.52,5.7,Li_ge,21/08/06,13/12/06,Cattle,20,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,5.95,Li_ge,21/08/06,13/12/06,Cattle,29,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.95,Li_ge,23/08/06,13/12/06,Cattle,281,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.95,Li_ge,23/08/06,13/12/06,Cattle,6,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6.12,Li_ge,23/08/06,13/12/06,Cattle,55,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6.12,Li_ge,23/08/06,13/12/06,Cattle,171,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.6,5.73,Li_ge,23/08/06,13/12/06,Cattle,12,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.5,5.65,Li_ge,21/08/06,13/12/06,Cattle,95,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.53,5.8,Li_ge,23/08/06,13/12/06,Cattle,93,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.65,5.85,Li_ge,23/08/06,13/12/06,Cattle,82,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.37,5.87,Li_ge,19/08/06,13/12/06,Cattle,61,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.58,5.85,Li_ge,24/08/06,13/12/06,Cattle,95,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.75,Limburg,18/08/06,13/12/06,Sheep,5,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.6,5.85,Li_ge,23/08/06,13/12/06,Sheep,20,2,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.98,Li_ge,18/08/06,13/12/06,Sheep,11,1,1,0,0
